Headline,Label
"Vaccines Cause Autism, Claims New Study",0
NASA Confirms Water on the Moon,1
Cure for Cancer Found in Broccoli,0
Apple Launches New iPhone Model,1
Flat Earth Proven by New Scientific Study,0
South Africa Wins Rugby World Cup,1
"Aliens Found Living Among Us, Claims Secret Report",0
South Africa Wins Rugby World Cup,1
Flat Earth Proven by New Scientific Study,0
Elon Musk Unveils New SpaceX Rocket,1
Flat Earth Proven by New Scientific Study,0
Breakthrough in Quantum Computing Announced,1
Flat Earth Proven by New Scientific Study,0
Breakthrough in Quantum Computing Announced,1
5G Towers Spread COVID-19,0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
WHO Declares End to Global Health Emergency,1
"Aliens Found Living Among Us, Claims Secret Report",0
Breakthrough in Quantum Computing Announced,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
WHO Declares End to Global Health Emergency,1
5G Towers Spread COVID-19,0
Breakthrough in Quantum Computing Announced,1
"Aliens Found Living Among Us, Claims Secret Report",0
Breakthrough in Quantum Computing Announced,1
"Aliens Found Living Among Us, Claims Secret Report",0
Scientists Discover New Element in Periodic Table,1
5G Towers Spread COVID-19,0
Elon Musk Unveils New SpaceX Rocket,1
5G Towers Spread COVID-19,0
Scientists Discover New Element in Periodic Table,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
Scientists Discover New Element in Periodic Table,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
WHO Declares End to Global Health Emergency,1
5G Towers Spread COVID-19,0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
Elon Musk Unveils New SpaceX Rocket,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
Elon Musk Unveils New SpaceX Rocket,1
"Aliens Found Living Among Us, Claims Secret Report",0
South Africa Wins Rugby World Cup,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
Scientists Discover New Element in Periodic Table,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
Scientists Discover New Element in Periodic Table,1
5G Towers Spread COVID-19,0
Elon Musk Unveils New SpaceX Rocket,1
5G Towers Spread COVID-19,0
Scientists Discover New Element in Periodic Table,1
"Aliens Found Living Among Us, Claims Secret Report",0
Scientists Discover New Element in Periodic Table,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
Elon Musk Unveils New SpaceX Rocket,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
Breakthrough in Quantum Computing Announced,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
South Africa Wins Rugby World Cup,1
5G Towers Spread COVID-19,0
Breakthrough in Quantum Computing Announced,1
5G Towers Spread COVID-19,0
Elon Musk Unveils New SpaceX Rocket,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
WHO Declares End to Global Health Emergency,1
"Aliens Found Living Among Us, Claims Secret Report",0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
WHO Declares End to Global Health Emergency,1
Flat Earth Proven by New Scientific Study,0
WHO Declares End to Global Health Emergency,1
Flat Earth Proven by New Scientific Study,0
WHO Declares End to Global Health Emergency,1
"Aliens Found Living Among Us, Claims Secret Report",0
Scientists Discover New Element in Periodic Table,1
"Aliens Found Living Among Us, Claims Secret Report",0
Elon Musk Unveils New SpaceX Rocket,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
WHO Declares End to Global Health Emergency,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
Breakthrough in Quantum Computing Announced,1
"Aliens Found Living Among Us, Claims Secret Report",0
South Africa Wins Rugby World Cup,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
Elon Musk Unveils New SpaceX Rocket,1
Chocolate Diet Promises 10kg Weight Loss in a Week,0
Breakthrough in Quantum Computing Announced,1
"Global Warming is a Hoax, Says Anonymous Scientist",0
Scientists Discover New Element in Periodic Table,1
Flat Earth Proven by New Scientific Study,0
WHO Declares End to Global Health Emergency,1
5G Towers Spread COVID-19,0
South Africa Wins Rugby World Cup,1
